feature,importance
worst texture,1.466158561174459
radius error,1.3090007141444888
worst symmetry,1.0769195377237823
mean concave points,0.9699771340513741
compactness error,0.9607946189219122
worst concavity,0.9368873923564982
area error,0.9353321512582963
worst area,0.9053786502177077
worst radius,0.9017231501393294
perimeter error,0.7722928041295419
mean concavity,0.768915676438833
worst concave points,0.7426576115341947
worst perimeter,0.7123221857464789
fractal dimension error,0.587420847044584
concave points error,0.5676734312210328
mean compactness,0.5319024036010925
mean texture,0.4368855014636838
mean area,0.4021654442090516
texture error,0.3725158872424171
symmetry error,0.37183846465178644
mean smoothness,0.3605187962508035
worst smoothness,0.3427834237779627
mean radius,0.31535301214325306
mean perimeter,0.311113651842406
smoothness error,0.22727813442382266
mean symmetry,0.2011211730276317
worst compactness,0.18380797177686567
concavity error,0.1324491963120145
worst fractal dimension,0.075406649378082
mean fractal dimension,0.03755217070564022
