feature,mean_abs_shap
worst texture,0.07192982456140348
worst concavity,0.04578399122807018
mean concave points,0.044841008771929834
worst radius,0.04020833333333333
radius error,0.040087719298245617
worst symmetry,0.04002741228070176
worst area,0.03821820175438596
worst concave points,0.03637061403508772
mean concavity,0.03384320175438597
worst perimeter,0.03141995614035089
compactness error,0.030537280701754394
area error,0.022680921052631576
perimeter error,0.020312499999999997
concave points error,0.01976425438596491
mean compactness,0.018760964912280697
mean texture,0.018267543859649113
mean area,0.015641447368421057
fractal dimension error,0.014177631578947374
mean radius,0.012938596491228067
texture error,0.01237390350877193
mean perimeter,0.012341008771929823
worst smoothness,0.01099232456140351
mean smoothness,0.01075657894736842
symmetry error,0.0103453947368421
worst compactness,0.0074890350877193
mean symmetry,0.006633771929824558
smoothness error,0.006606359649122806
concavity error,0.0034978070175438586
worst fractal dimension,0.003229166666666667
mean fractal dimension,0.001140350877192983
